date,up_count,down_count,flat_count,valid_count,universe_total,coverage_ratio,breadth_net_ratio,up_ratio,down_ratio,breadth_log_ad_ratio,open_0050,close_0050,ret_c0_o1,ret_c0_c1,ret_o1_c1,ret_o1_o2,ret_o1_c2,ret_o1_c3,ret_o1_c5,ret_o1_c10,year,month
2017-10-31,872,441,189,1502,1974,0.7608915906788247,0.32825590251332826,0.6641279512566641,0.33587204874333587,0.6811846340325675,127.27857192746549,127.57805092023601,0.0017605633802815213,-0.0011737089201878659,-0.0029291154071470205,-0.004686584651435233,-0.006444053895723445,-0.007615700058582253,-0.0005858230814294041,-0.014059753954305587,2017,10
2017-11-01,720,590,199,1509,1974,0.7644376899696048,0.09923664122137404,0.549618320610687,0.45038167938931295,0.1989757798021598,127.80266016481387,127.42831142385074,-0.001762632197414793,-0.003525264394829586,-0.0017657445556209517,0.0,-0.002942907592701549,-0.0011771630370807085,0.0,-0.01942319011183058,2017,11
2017-11-02,640,646,219,1505,1974,0.7624113475177305,-0.004665629860031105,0.4976671850699845,0.5023328149300156,-0.00932407687512329,127.20370217927287,126.97909293469499,0.001768867924528239,-0.001179245283018826,-0.002942907592701549,0.00294290759270166,-0.0011771630370807085,0.0041200706297821466,-0.0064743967039434525,-0.015891701000588676,2017,11
2017-11-03,635,665,209,1509,1974,0.7644376899696048,-0.023076923076923078,0.48846153846153845,0.5115384615384615,-0.04612654720565757,127.20370217927287,126.82935343830974,0.005903187721369552,0.0017709563164107767,-0.004107981220657475,-0.0023474178403756207,0.0011737089201877549,-0.002934272300469498,-0.00762910798122074,-0.00997652582159636,2017,11
2017-11-06,601,709,193,1503,1974,0.7613981762917933,-0.08244274809160305,0.4587786259541985,0.5412213740458015,-0.16513396118536372,127.57805092023601,127.0539626828876,0.001767825574543469,0.005303476723629963,0.003529411764705781,0.0023529411764706687,-0.0005882352941176672,-0.007058823529411673,-0.008235294117647007,-0.0117647058823529,2017,11
2017-11-07,637,657,208,1502,1974,0.7608915906788247,-0.015455950540958269,0.49227202472952086,0.5077279752704791,-0.030890487019338445,127.27857192746549,127.72779041662125,-0.0011723329425555873,-0.004103165298944833,-0.002934272300469498,-0.002934272300469498,-0.009389671361502372,-0.00762910798122074,-0.012323943661971759,-0.005281690140845119,2017,11
2017-11-08,624,675,205,1504,1974,0.7619047619047619,-0.03926096997690531,0.48036951501154734,0.5196304849884527,-0.07850182783462122,127.57805092023601,127.20370217927287,0.0,-0.0064743967039434525,-0.0064743967039434525,-0.007651559741024161,-0.004708652148322612,-0.007651559741024161,-0.01942319011183058,0.002354326074161417,2017,11
2017-11-09,354,1008,145,1507,1974,0.7634245187436677,-0.4801762114537445,0.2599118942731278,0.7400881057268722,-1.0455110114220842,127.20370217927287,126.38013494915398,-0.0011848341232228998,0.0017772511848339612,0.0029655990510082386,-0.0005931198102016033,0.0,-0.00177935943060481,-0.008303677342823335,0.01067615658362997,2017,11
2017-11-10,738,555,208,1501,1974,0.7603850050658562,0.14153132250580047,0.5707656612529002,0.42923433874709976,0.28475249289174986,126.23039545276872,126.60474419373185,-0.003548196333530429,-0.002956830277942024,0.0005934718100890635,0.0005934718100890635,-0.0011869436201779049,-0.011275964391691429,0.001186943620178127,0.010682492581602476,2017,11
2017-11-13,395,975,133,1503,1974,0.7613981762917933,-0.4233576642335766,0.28832116788321166,0.7116788321167883,-0.9027993728554574,126.15552570457609,126.23039545276872,0.0,-0.00177935943060481,-0.00177935943060481,-0.005931198102016588,-0.011862396204033288,-0.008303677342823335,-0.003558718861209953,-0.00177935943060481,2017,11
2017-11-14,469,865,175,1509,1974,0.7644376899696048,-0.29685157421289354,0.35157421289355323,0.6484257871064468,-0.6116390759679464,126.23039545276872,126.00578620819086,-0.004159239453357277,-0.010101010101010277,-0.005966587112171906,-0.005966587112171906,-0.0023866348448687846,0.0065632458233890745,0.011336515513126644,-0.0023866348448687846,2017,11
2017-11-15,615,741,156,1512,1974,0.7659574468085106,-0.09292035398230089,0.45353982300884954,0.5464601769911505,-0.18624021595347856,125.48169797084245,124.73300048891618,0.0,0.0036014405762303525,0.0036014405762303525,0.01200480192076836,0.012605042016806678,0.008403361344538007,0.022208883553421543,0.004801920768307433,2017,11
2017-11-16,590,716,199,1505,1974,0.7624113475177305,-0.09647779479326186,0.45176110260336905,0.5482388973966309,-0.19340861163080952,124.73300048891618,125.18221897807193,0.00837320574162681,0.008971291866028741,0.0005931198102016033,0.0011862396204034287,-0.003558718861209953,0.005338078291814874,0.01067615658362997,-0.024317912218268067,2017,11
2017-11-17,725,558,221,1504,1974,0.7619047619047619,0.13016367887763056,0.5650818394388153,0.4349181605611847,0.2616064538149872,126.23039545276872,126.30526520096134,0.0005927682276229973,-0.004149377593360981,-0.004739336492891044,-0.005924170616113722,0.004146919431279539,0.008886255924170694,0.008886255924170694,-0.021327014218009643,2017,11
2017-11-20,603,734,173,1510,1974,0.7649442755825735,-0.09798055347793568,0.45100972326103217,0.5489902767389678,-0.19644395507634585,126.38013494915398,125.78117696361296,-0.0011904761904761862,0.008928571428571397,0.010131108462455352,0.014898688915375491,0.014898688915375491,0.015494636471990564,0.0029797377830751426,-0.011918951132300348,2017,11
2017-11-21,872,470,164,1506,1974,0.7629179331306991,0.2995529061102832,0.6497764530551415,0.3502235469448584,0.6175666950511479,125.63143746722771,126.90422318650236,0.004719764011799521,0.004719764011799521,0.0,0.0,0.0005871990604815469,0.0,-0.018203170874926733,-0.03405754550792728,2017,11
2017-11-22,624,704,186,1514,1974,0.7669706180344478,-0.060240963855421686,0.46987951807228917,0.5301204819277109,-0.12053700177310256,127.50318117204338,127.50318117204338,0.0,0.0005871990604815469,0.0005871990604815469,0.0011743981209630938,0.0,-0.01174398120963005,-0.017028772753963528,-0.05049911920140948,2017,11
2017-11-23,772,560,180,1512,1974,0.7659574468085106,0.15915915915915915,0.5795795795795796,0.42042042042042044,0.32080276625968585,127.50318117204338,127.57805092023601,0.0005868544600939885,-0.0005868544600938774,-0.0011730205278591699,-0.0011730205278591699,-0.012903225806451535,-0.01935483870967758,-0.035190615835777206,-0.05102639296187683,2017,11
2017-11-24,668,637,200,1505,1974,0.7624113475177305,0.02375478927203065,0.5118773946360153,0.48812260536398466,0.047482119509416616,127.65292066842864,127.50318117204338,0.0,-0.01174398120963005,-0.01174398120963005,-0.014092777451556127,-0.018203170874926733,-0.017028772753963528,-0.029947152084556783,-0.04991192014092771,2017,11
2017-11-27,494,837,179,1510,1974,0.7649442755825735,-0.2577009767092412,0.3711495116453794,0.6288504883546205,-0.5268741126364547,127.50318117204338,126.00578620819086,-0.002376708259061333,-0.0065359477124184995,-0.00416914830256121,-0.003573555687909402,-0.0029779630732578166,-0.020250148898153686,-0.012507444907683074,-0.029184038117927358,2017,11
2017-11-28,593,712,212,1517,1974,0.7684903748733536,-0.09118773946360154,0.45440613026819926,0.5455938697318008,-0.18274269809308294,125.70630721542034,125.18221897807193,0.0005980861244021529,0.0011961722488040838,0.000597728631201333,-0.0077704722056187725,-0.016736401673640322,-0.012552301255230325,-0.016736401673640322,-0.032277346084877534,2017,11
